,alt_title,director,domestic_gross,mojo_slug,opening_per_theater,opening_weekend_take,production_budget,release_date_limited,release_date_wide,title,widest_release,worldwide_gross,year
81,About Cherry (2012),,3003.0,aboutcherry,920.0,2760.0,,,2012-09-21,About Cherry,3.0,3003.0,2012.0
82,About Last Night... (1986),Edward Zwick,38702310.0,aboutlastnight,4910.0,3152469.0,,,1986-07-04,About Last Night... ,887.0,,1986.0
83,About Schmidt (2002),Alexander Payne,65016287.0,aboutschmidt,10457.0,8533162.0,30000000.0,2002-12-13,2003-01-03,About Schmidt,1240.0,105834556.0,2002.0
84,About Time (2013),Richard Curtis,15322921.0,abouttime,3965.0,4758070.0,,2013-11-01,2013-11-08,About Time,1280.0,87100449.0,2013.0
85,Abraham Lincoln: Vampire Hunter (2012),Timur Bekmambetov,37519139.0,abrahamlincolnvampirehunter,5247.0,16306974.0,69000000.0,,2012-06-22,Abraham Lincoln:Vampire Hunter,3109.0,116471580.0,2012.0
86,Absolute Power (1997),Clint Eastwood,50068310.0,absolutepower,5715.0,14678016.0,,,1997-02-14,Absolute Power ,2568.0,,1997.0
87,Abuse of Weakness (2014),,31611.0,abuseofweakness,9140.0,9140.0,,,2014-08-15,Abuse of Weakness ,5.0,,2014.0
88,The Abyss (1989),James Cameron,54461047.0,abyss,6079.0,9319797.0,,,1989-08-11,The Abyss,1538.0,90000098.0,1989.0
89,A Case of You (2013),,4187.0,acaseofyou,,,,,2013-11-06,A Case of You,1.0,,2013.0
90,A Cat in Paris (2012),,309973.0,acatinparis,5759.0,34554.0,,,2012-06-01,A Cat in Paris ,18.0,,2012.0
91,Accepted (2006),Steve Pink,36323505.0,accepted,3439.0,10023835.0,23000000.0,,2006-08-18,Accepted,2917.0,38505009.0,2006.0
92,The Accidental Tourist (1988),Lawrence Kasdan,32632093.0,accidentaltourist,7089.0,6118618.0,,1988-12-23,1989-01-06,The Accidental Tourist ,954.0,,1988.0
93,Ace Ventura: Pet Detective (1994),Tom Shadyac,72217396.0,aceventura,6922.0,12115105.0,15000000.0,,1994-02-04,Ace Ventura: Pet Detective ,1963.0,107217396.0,1994.0
94,A Coffee in Berlin (2014),,150275.0,acoffeeinberlin,3918.0,3918.0,,,2014-06-13,A Coffee in Berlin,12.0,2750275.0,2014.0
95,Across the Universe (2007),Julie Taymor,24343673.0,acrosstheuniverse,4009.0,3824988.0,,2007-09-14,2007-10-12,Across the Universe,964.0,29367143.0,2007.0
96,Act of Killing (2013),,486919.0,actofkilling,27450.0,27450.0,,,2013-07-19,Act of Killing,29.0,486919.0,2013.0
97,Act of Valor (2012),Mike McCoyScott Waugh,70012847.0,actofvalor,8054.0,24476632.0,12000000.0,,2012-02-24,Act of Valor,3053.0,81272766.0,2012.0
98,Adam (2009),,2277396.0,adam,17094.0,68377.0,,,2009-07-29,Adam,177.0,2549605.0,2009.0
99,Adaptation. (2002),Spike Jonze,22498520.0,adaptation,1682.0,1130480.0,19000000.0,2002-12-06,2003-02-14,Adaptation.,672.0,32801173.0,2002.0
100,Addicted (2014),Bille Woodruff,17390770.0,addicted,8848.0,7485346.0,,,2014-10-10,Addicted,1037.0,17390770.0,2014.0
101,The Adjustment Bureau (2011),George Nolfi,62495645.0,adjustmentbureau,7450.0,21157730.0,50200000.0,,2011-03-04,The Adjustment Bureau,2847.0,127869379.0,2011.0
102,Admission (2013),Paul Weitz,18007317.0,admission,2850.0,6154984.0,13000000.0,,2013-03-22,Admission,2161.0,18007317.0,2013.0
103,Adore (2013),,318982.0,adore,2102.0,119806.0,,,2013-09-06,Adore,57.0,318982.0,2013.0
104,Adult World (2014),,25368.0,adultworld,1892.0,3783.0,,,2014-02-14,Adult World,11.0,25368.0,2014.0
105,Adventureland (2009),Greg Mottola,16044025.0,adventureland,3073.0,5722039.0,,,2009-04-03,Adventureland,1876.0,17164377.0,2009.0
106,The Adventures of Baron Munchausen (1989),Terry Gilliam,8083123.0,adventuresofbaronmunchausen,12986.0,597400.0,46630000.0,,1989-03-10,The Adventures of Baron Munchausen ,120.0,,1989.0
107,The Afflicted (2011),,212940.0,afflicted,6944.0,90272.0,,,2011-10-21,The Afflicted ,13.0,,2011.0
108,A Film Unfinished (2010),,320486.0,afilmunfinished,8515.0,34060.0,,,2010-08-18,A Film Unfinished,16.0,,2010.0
109,Afterglow (1997),,2465960.0,afterglow,7150.0,50052.0,,,1997-12-26,Afterglow ,353.0,,1997.0
110,After Hours (1985),Martin Scorsese,10609321.0,afterhours,45435.0,45435.0,,,1985-09-13,After Hours ,503.0,,1985.0
111,After Life (1999),,801985.0,afterlife,11791.0,11791.0,,,1999-05-14,After Life ,11.0,,1999.0
112,Afternoon Delight (2013),,174496.0,afternoondelight,13676.0,27352.0,,,2013-08-30,Afternoon Delight,39.0,,2013.0
113,Afternoon of a Faun (2014),,172450.0,afternoonofafaun,7646.0,15292.0,,,2014-02-05,Afternoon of a Faun ,11.0,,2014.0
114,After School (1988),,3967.0,afterschool,,,,,1988-09-23,After School ,,,1988.0
115,Aftershock (Tangshan Dadizhen) (2010),,62962.0,aftershock,773.0,19329.0,,,2010-10-29,Aftershock (Tangshan Dadizhen) ,25.0,100292829.0,2010.0
116,Agent Cody Banks (2003),Harald Zwart,47938330.0,agentcodybanks,4174.0,14064317.0,28000000.0,,2003-03-14,Agent Cody Banks,3369.0,58795814.0,2003.0
117,Agent Cody Banks 2: Destination London (2004),,23630159.0,agentcodybanks2,2695.0,8014005.0,26000000.0,,2004-03-12,Agent Cody Banks 2:Destination London,2973.0,28818995.0,2004.0
118,Age of Uprising: The Legend of Michael Kohlhaas (U.S. only) (2014),,3313.0,ageofuprising,,,,,2014-05-30,Age of Uprising:The Legend of Michael Kohlhaas (U.S. only),4.0,800313.0,2014.0
119,Agora (2010),Alejandro Amenabar,619423.0,agora,16631.0,33262.0,70000000.0,,2010-05-28,Agora,17.0,39041505.0,2010.0
120,A Hijacking (2013),,414437.0,ahijacking,5627.0,39392.0,,,2013-06-21,A Hijacking,32.0,414437.0,2013.0
121,Ain't Them Bodies Saints (2013),,396519.0,aintthembodiessaints,8806.0,26419.0,,,2013-08-16,Ain't Them Bodies Saints,44.0,1031243.0,2013.0
122,Air Force One (1997),Wolfgang Petersen,172956409.0,airforceone,12720.0,37132505.0,85000000.0,,1997-07-25,Air Force One,2981.0,315156409.0,1997.0
123,The Air I Breathe (2008),,25775.0,airibreathe,2784.0,19487.0,,,2008-01-25,The Air I Breathe,7.0,2597648.0,2008.0
124,Ai Weiwei: Never Sorry (2012),,534100.0,aiweiweineversorry,8221.0,41104.0,,,2012-07-27,Ai Weiwei:Never Sorry,37.0,534100.0,2012.0
125,Akeelah and the Bee (2006),,18848430.0,akeelahandthebee,2738.0,6011585.0,8000000.0,,2006-04-28,Akeelah and the Bee,2195.0,18948425.0,2006.0
126,A Knight's Tale (2001),Brian Helgeland,56569702.0,aknightstale,5540.0,16511391.0,65000000.0,,2001-05-11,A Knight's Tale ,2980.0,117487473.0,2001.0
127,A La Mala (2015),,3629842.0,alamala,3651.0,1402118.0,,,2015-02-27,A La Mala,384.0,,2015.0
128,The Alamo (2004) (2004),John Lee Hancock,22414961.0,alamo,3497.0,9124701.0,107000000.0,,2004-04-09,The Alamo (2004),2609.0,25819961.0,2004.0
129,Alan Partridge: The Movie (2014),,153426.0,alanpartridge,4221.0,12664.0,,,2014-04-04,Alan Partridge: The Movie ,22.0,9727099.0,2014.0
130,A Late Quartet (2012),,1562546.0,alatequartet,8364.0,75279.0,,,2012-11-02,A Late Quartet,100.0,1562546.0,2012.0
131,Albatross (2012),,,albatross,,,,,2012-01-13,Albatross,,,2012.0
132,Albert Nobbs (2012),,3014696.0,albertnobbs,2841.0,696088.0,,,2012-01-27,Albert Nobbs,245.0,5634828.0,2012.0
133,Alexander (2004),Oliver Stone,34297191.0,alexander,5597.0,13687087.0,155000000.0,,2004-11-24,Alexander,2445.0,167298192.0,2004.0
134,Alex Cross (2012),Rob Cohen,25888412.0,alexcross,4489.0,11396768.0,35000000.0,,2012-10-19,Alex Cross,2541.0,34588412.0,2012.0
135,Alfie (2004),Charles Shyer,13399812.0,alfie,2807.0,6218335.0,60000000.0,,2004-11-05,Alfie,2215.0,35150546.0,2004.0
136,Ali (2001),Michael Mann,58203105.0,ali,6014.0,14710892.0,107000000.0,,2001-12-25,Ali,2521.0,87713825.0,2001.0
137,Alice in Wonderland (1951) (1951),,,aliceinwonderland,,,,,1951-07-28,Alice in Wonderland (1951) ,,,1951.0
138,Alien (1979),Ridley Scott,80931801.0,alien,8366.0,5312945.0,11000000.0,1979-05-25,1979-06-22,Alien,757.0,104931801.0,1979.0
139,Alien 3 (1992),David Fincher,55473545.0,alien3,8733.0,19449867.0,50000000.0,,1992-05-22,Alien 3,2227.0,159814498.0,1992.0
140,Alien Abduction (2014),,12897.0,alienabduction,809.0,10514.0,,,2014-04-04,Alien Abduction,13.0,,2014.0
141,Alien Resurrection (1997),Jean-Pierre Jeunet,47795658.0,alienresurrection,6821.0,16474092.0,75000000.0,,1997-11-26,Alien Resurrection,2449.0,161376068.0,1997.0
